regime,feature,spearman_vs_margin,p_vs_margin,spearman_vs_losing,p_vs_losing,n_obs
ALL,log_log_slope,0.118,0.0001,0.1608,0.0,1170
ALL,curvature_idx,0.3873,0.0,0.3875,0.0,1170
ALL,oscillation_idx,0.2988,0.0,0.2848,0.0,1170
ALL,noise_var,0.0774,0.0081,0.0461,0.1147,1170
ALL,richardson_r2,-0.4498,0.0,-0.4585,0.0,1170
ALL,diff_ratio_cv,0.5338,0.0,0.5335,0.0,1170
single_exp,log_log_slope,-0.7893,0.0,,,65
single_exp,curvature_idx,0.4296,0.0004,,,65
single_exp,oscillation_idx,0.4855,0.0,,,65
single_exp,noise_var,-0.0776,0.5387,,,65
single_exp,richardson_r2,-0.7731,0.0,,,65
single_exp,diff_ratio_cv,0.4549,0.0001,,,65
two_exp,log_log_slope,0.2132,0.0882,,,65
two_exp,curvature_idx,-0.2132,0.0882,,,65
two_exp,oscillation_idx,-0.1808,0.1495,,,65
two_exp,noise_var,-0.1532,0.223,,,65
two_exp,richardson_r2,0.2132,0.0882,,,65
two_exp,diff_ratio_cv,-0.2132,0.0882,,,65
three_exp,log_log_slope,,,,,65
three_exp,curvature_idx,,,,,65
three_exp,oscillation_idx,,,,,65
three_exp,noise_var,,,,,65
three_exp,richardson_r2,,,,,65
three_exp,diff_ratio_cv,,,,,65
four_exp,log_log_slope,,,,,65
four_exp,curvature_idx,,,,,65
four_exp,oscillation_idx,,,,,65
four_exp,noise_var,,,,,65
four_exp,richardson_r2,,,,,65
four_exp,diff_ratio_cv,,,,,65
power_law,log_log_slope,-0.5874,0.0,,,65
power_law,curvature_idx,0.6776,0.0,,,65
power_law,oscillation_idx,0.5642,0.0,,,65
power_law,noise_var,0.4759,0.0001,,,65
power_law,richardson_r2,-0.6784,0.0,,,65
power_law,diff_ratio_cv,0.6554,0.0,,,65
rational_decay,log_log_slope,,,,,65
rational_decay,curvature_idx,,,,,65
rational_decay,oscillation_idx,,,,,65
rational_decay,noise_var,,,,,65
rational_decay,richardson_r2,,,,,65
rational_decay,diff_ratio_cv,,,,,65
mixed_pow_rat,log_log_slope,,,,,65
mixed_pow_rat,curvature_idx,,,,,65
mixed_pow_rat,oscillation_idx,,,,,65
mixed_pow_rat,noise_var,,,,,65
mixed_pow_rat,richardson_r2,,,,,65
mixed_pow_rat,diff_ratio_cv,,,,,65
multiphase,log_log_slope,0.02,0.8744,,,65
multiphase,curvature_idx,0.1932,0.1231,,,65
multiphase,oscillation_idx,0.1741,0.1654,,,65
multiphase,noise_var,0.1532,0.223,,,65
multiphase,richardson_r2,-0.1932,0.1231,,,65
multiphase,diff_ratio_cv,0.1932,0.1231,,,65
osc_exp,log_log_slope,-0.4018,0.0009,,,65
osc_exp,curvature_idx,0.2124,0.0893,,,65
osc_exp,oscillation_idx,0.2142,0.0867,,,65
osc_exp,noise_var,-0.036,0.7757,,,65
osc_exp,richardson_r2,-0.3749,0.0021,,,65
osc_exp,diff_ratio_cv,0.176,0.1607,,,65
damped_osc_pow,log_log_slope,-0.3446,0.0049,,,65
damped_osc_pow,curvature_idx,0.422,0.0005,,,65
damped_osc_pow,oscillation_idx,0.2982,0.0158,,,65
damped_osc_pow,noise_var,0.2782,0.0248,,,65
damped_osc_pow,richardson_r2,-0.4308,0.0003,,,65
